caseid,name_indicator,eventcode,EVENTCODEDATE,sex,age,pre_marriagestat,current_marriagestat,white,black,hispanic,schooling,left.b.a,evac.state,state.most.time,lives.NO.still,same.home,month.returned,year.returned,fulltime,partime,selfempfull,selfemppart,laidoff,unemployed,disabled,student,health.before,health.after,received.metal.care,life.quality,mobile,apartment,singlefam,duplex,own.rent,res.damage,income,stayed.first.month,q31,q32,q33,q34,q35,q36,q37
20741,0,500,6-Nov-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20747,0,492,22-Sep-06,1,47,2,2,1, , ,4,1,MS,LA,1,1,12,2005,1, , , , , , , ,1,1,2,2, , ,3, ,1,3,4,5,5,5,5,5,5,5,5
21603,1,501,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21607,1,491,5-Oct-06,2,55,2,2, ,2, ,2,1,LA,TX,2, , , ,1, , , , , , , ,1,4,2,3, , ,3, ,2,2,2,2,2,2,1,1,2,5,10
21609,1,492,6-Oct-06,2,55,5,5, ,2, ,3,3, , ,1,2,-4,-4,1, , , , , , , ,2,3,1,3, , ,3, ,2,1,1,-6,4,5,3,5,5,5,8
21611,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21612,1,492,9-Oct-06,2,43,4,4, ,2, ,4,1,TX,TX,1,1,9,2005,1, , , , , , , ,1,1,2,2, , ,3, ,1,2,1,6,5,5,5,5,1,5,0
21613,1,500,10-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21616,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21618,1,491,28-Sep-06,2,21,5,5, ,2, ,4,2,TX,LA,2, , , ,1, , , , , , , ,1,1,2,3, ,2, , ,2,1,7,1,3,1,1,3,3,5,10
21626,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21631,1,491,18-Sep-06,2,63,3,3, , , ,4,2,NC,LA,1,1,9,2005, , , , , , , , ,3,2,2,2, , , ,4,1,3,-7,3,5,5,5,5,5,5,0
21634,1,491,20-Sep-06,2,42,5,5, ,2, ,5,1,GEORIGA,GA,2, , , ,1, , , , , , , ,2,3,2,3, , , ,4,1,1,7,5,3,4,2,4,1,5,10
